y,Slope,Elevation,Aspect,Aspect_cv,Slope_cv,Elevation_cv,Forest height,Root depth,Tree density,Drought intensity,Available water capacity,Soil clay,Soil sand,Precipitation,Native plant species richness
0.077969005,18.08869934,1718,97.59437561,0.535663365,0.381119976,0.087045115,13,1.586938277,0,-3.585714286,150,21,38,425.5916667,1181.8
0.165978728,25.91922276,905,182.1915362,0.634706818,0.437852885,0.170586616,25,0.473029679,52152.75659,-4.295714286,15,10,75,580.4416667,901.3
0.046236138,1.49163799,253,270,0.549951279,0.439654713,0.500054115,23,3.326466773,25896.09385,-3.784285714,50,22,43,350.7944444,0
0.006962012,12.42060947,319,257.2615662,0.5512214,0.424179409,0.473548187,27,7.492179751,27704.26988,-3.784285714,50,22,43,350.7944444,0
0.00642834,10.92829132,316,312.1220093,0.548348852,0.423929426,0.475884934,27,7.492179751,27704.26988,-3.784285714,50,22,43,350.7944444,0
0.046236138,1.49163799,253,270,0.549951279,0.439654713,0.500054115,23,3.326466773,25896.09385,-3.784285714,50,22,43,350.7944444,0
0.00642834,10.92829132,316,312.1220093,0.548348852,0.423929426,0.475884934,27,7.492179751,27704.26988,-3.784285714,50,22,43,350.7944444,0
0.00642834,12.42060947,319,257.2615662,0.5512214,0.424179409,0.473548187,27,7.492179751,27704.26988,-3.784285714,50,22,43,350.7944444,0
0.007234783,12.89448833,328,304.4499512,0.551022602,0.422443872,0.473386338,27,7.492179751,27704.26988,-3.784285714,50,22,43,350.7944444,0
0.010463946,10.31244755,434,203.1742859,0.551304637,0.403440988,0.426071007,14,5.279621576,20417.83209,-3.784285714,50,22,43,350.7944444,0
0.017360443,11.93357754,434,174.6982269,0.551767874,0.40299019,0.423059281,14,5.279621576,20417.83209,-3.784285714,50,22,43,350.7944444,0
0.01960278,6.093824863,444,246.150238,0.555673813,0.403461116,0.419210653,14,5.279621576,20417.83209,-3.784285714,50,22,43,350.7944444,0
0.01960278,6.093824863,444,246.150238,0.555673813,0.403461116,0.419210653,14,5.279621576,20417.83209,-3.784285714,50,22,43,350.7944444,0
0.025649905,10.45536709,284,200.6570282,0.545950369,0.432944484,0.491418266,23,7.492179751,27704.26988,-3.784285714,50,22,43,350.7944444,0
0.01960278,6.093824863,444,246.150238,0.555673813,0.403461116,0.419210653,14,5.279621576,20417.83209,-3.784285714,50,22,43,350.7944444,0
0.015031857,6.093824863,444,246.150238,0.555673813,0.403461116,0.419210653,22,5.279621576,20417.83209,-3.784285714,50,22,43,350.7944444,0
0.015031857,6.093824863,444,246.150238,0.555673813,0.403461116,0.419210653,22,5.279621576,20417.83209,-3.784285714,50,22,43,350.7944444,0
0.046236138,1.49163799,253,270,0.549951279,0.439654713,0.500054115,23,3.326466773,25896.09385,-3.784285714,50,22,43,350.7944444,0
0.020249317,14.32499218,425,127.7911911,0.561118659,0.402793842,0.403086488,22,5.859464408,16737.6779,-3.831428571,50,22,43,350.7944444,0
0.020249317,14.32499218,425,127.7911911,0.561118659,0.402793842,0.403086488,22,5.859464408,16737.6779,-3.831428571,50,22,43,350.7944444,0
